source_row,code,alt_code,brand,name,colour,product_type_name,pricing_category,eur_base_price,gbp_price,extra_size_cost,tags,is_active,mapping_status,notes
Garments!2,BB610,,Beechfield,5-panel snapback rapper cap,,Baseball cap,OTHER,2.7,2.16,,cap5 panelrapper capsnapback,true,READY,Mapped from cap product name.
Garments!3,W101,WM101,Westford Mill,Bag for life - long handles,White / Natural,Tote bags,OTHER,1.5,0.99,,W101WM101Tote,true,READY,Mapped from bag/tote product name.
Garments!4,BB653,BC653,Beechfield,Beechfield Low Profile 6 Panel Dad Cap,,Baseball cap,OTHER,3.2,2.48,,bb653beechfieldcapdad capBC653,true,READY,Mapped from cap product name.
Garments!5,5054,,AS Colour,Block L/S Tee,,Long sleeve tees,LONGSLEEVE,4.8,4.05,,5054. blocklong sleeve,true,READY,
Garments!6,5050,,AS Colour,Block Tubular Tee,,Cotton T-shirt/Tank Top,TSHIRT,3.25,2.55,,5050Block Tubular Tee,true,READY,
Garments!7,5171,,AS Colour,Box Hood,,Hoodies,HOODIE,19.55,16.15,,5171box hood,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!8,5031,,AS Colour,Box L/S Tee,,Long sleeve tees,LONGSLEEVE,8.95,5.95,,5031. boxlong sleeve,true,READY,Mapped as LONGSLEEVE from product name; workbook Type is TSHIRT.
Garments!9,5030,,AS Colour,Box Tee,,Cotton T-shirt/Tank Top,TSHIRT,7.15,5.8,,Box TeeAS Colour5030,true,READY,
Garments!10,5071,,AS Colour,Classic L/S Tee,,Long sleeve tees,LONGSLEEVE,8.4,5.95,,5071Classiclong sleeve,true,READY,
Garments!11,5026,,AS Colour,Classic Tee,,Cotton T-shirt/Tank Top,TSHIRT,6.5,5.3,,5026AS Colourclassic tee,true,READY,
Garments!12,JH001,,AWDis,College hoodie,Whites,Hoodies,HOODIE,9.5,7.24,1.5,AWDishoodiewhitecollegeJH001,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!13,JH001,,AWDis,College hoodie,colours,Hoodies,HOODIE,9.5,8.24,1.5,AWDisJH001College,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!14,STTU976,SX236,Stanley Stella,Crafter Vintage,colours,Cotton T-shirt/Tank Top,TSHIRT,6.18,3.04,,STTU976SX236teevintage tee,true,READY,
Garments!15,STTU169,SX701,Stanley/Stella,Creator 2.0,Black & Colours,Cotton T-shirt/Tank Top,TSHIRT,4.45,3.5,0.9,creator iconic t-shirtcreatororganic cotton,true,READY,
Garments!16,STTU169,SX701,Stanley/Stella,Creator 2.0,White,Cotton T-shirt/Tank Top,TSHIRT,4.13,2.32,1,creator iconic t-shirtcreatororganic cotton,true,READY,
Garments!17,JH011,,AWDis,Epic Print Hoodie,,Hoodies,HOODIE,10.5,7.46,1.5,HoodieAWDisepic printJH011,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
