name,commodity_code,pricing_category,is_active,source_row,notes
Baseball cap,6505 00 30 00,OTHER,true,Commodity Codes!2,
Bath robe - cotton,61072100,OTHER,true,Commodity Codes!3,
Beanies,65050090,OTHER,true,Commodity Codes!4,
CD / DVD,85238090,OTHER,true,Commodity Codes!5,
Ceramic mug,69120021,OTHER,true,Commodity Codes!6,
Cotton patch,93039100,OTHER,true,Commodity Codes!7,
Cotton T-shirt/Tank Top,61091000,TSHIRT,true,Commodity Codes!8,
Cotton Trousers,61046200,OTHER,true,Commodity Codes!9,
Enamel badge,71179000,OTHER,true,Commodity Codes!10,
Flag,63079098,OTHER,true,Commodity Codes!11,
Guitar pick,92099200,OTHER,true,Commodity Codes!12,
Hoodies - cotton,61102091,HOODIE,true,Commodity Codes!13,
Hoodies - poly / cotton,61103091,HOODIE,true,Commodity Codes!14,
Jacket,61032300,OTHER,true,Commodity Codes!15,
Long sleeve tees,61102010,LONGSLEEVE,true,Commodity Codes!16,
Metal charm / necklace,71779000,OTHER,true,Commodity Codes!17,
Metal keyrings,73261990,OTHER,true,Commodity Codes!18,
Metal pin badge set,73261990,OTHER,true,Commodity Codes!19,
Notepad,48026900,OTHER,true,Commodity Codes!20,
Pen,96081000,OTHER,true,Commodity Codes!21,
Pencil set,96091010,OTHER,true,Commodity Codes!22,
Phone grip,93028990,OTHER,true,Commodity Codes!23,
Plastic lanyards,39261000,OTHER,true,Commodity Codes!24,
Posters,49019100,OTHER,true,Commodity Codes!25,
Programmes,49019100,OTHER,true,Commodity Codes!26,
Ring / bracelet,71179000,OTHER,true,Commodity Codes!27,
Scarf - cotton,61179000,OTHER,true,Commodity Codes!28,
Socks - cotton,61159500,OTHER,true,Commodity Codes!29,
Tea towel,63025100,OTHER,true,Commodity Codes!30,
Tote bags,63052000,OTHER,true,Commodity Codes!31,
Vest,61091000,TSHIRT,true,Commodity Codes!32,Pricing category confirmed as TSHIRT.
Vinyl,85238090,OTHER,true,Commodity Codes!33,
Water bottle,70109043,OTHER,true,Commodity Codes!34,
Wristbands - fabric,61169900,OTHER,true,Commodity Codes!35,
Wristbands - rubber,40159000,OTHER,true,Commodity Codes!36,
Skateboards,9506 70 30,OTHER,true,Commodity Codes!37,
Woven Patches,5807 10 10,OTHER,true,Commodity Codes!38,
Embroidered Patches,5810 99 90,OTHER,true,Commodity Codes!39,
Sunglasses with Plastic Lenses (Not optically worked),9004 10 91,OTHER,true,Commodity Codes!40-41,Includes the following workbook note: (Not optically worked).
Silk Bandanas/Scarves,6214 10 00,OTHER,true,Commodity Codes!42,
Cotton Bandanas/Scarves,6214 30 00,OTHER,true,Commodity Codes!43,
Sweat Shorts,62034290,OTHER,true,Commodity Codes!44,
